,uf,modalidade,R$
163,Exterior,SWE - Doutorado Sanduíche no Exterior,15486514.37
164,GO,ADC - Apoio à Difusão do Conhecimento,53903.0
165,GO,APQ - Auxílio a Pesquisa,13679262.209999999
166,GO,ARC - Promoção de Eventos Científicos,151665.0
167,GO,AT - Apoio Técnico a Pesquisa,92600.0
168,GO,ATP - Apoio Técnico em Extensão no País ,41100.0
169,GO,DCR - Desenvolvimento Cientifico Regional,894550.0
170,GO,DT - Produtividade Desen. Tec. e Extensão ,220000.0
171,GO,DTI - Desenvolvimento Tecnológico Industrial,1217900.0
172,GO,EV - Especialista Visitante,38500.0
173,GO,EXP - Extensão no País,34620.0
174,GO,GD - Doutorado,2191930.0
175,GO,GM - Mestrado,1110000.0
176,GO,IC - Iniciação Científica,2816400.0
177,GO,ICJ - Iniciação Científica Júnior,239200.0
178,GO,IEX - Iniciação ao Extensionismo,12240.0
179,GO,IT - Iniciação Tecnológica,354800.0
180,GO,ITC - Iniciação Tecnológica em TICs,9000.0
181,GO,ITI - Iniciação Tecnológica e Industrial,50800.0
182,GO,PAV - Bolsa Pesquisador-Avaliador,1200.0
183,GO,PDJ - Pós-doutorado Júnior,436950.0
184,GO,PDS - Pós-doutorado Sênior,48000.0
185,GO,PQ - Produtividade em Pesquisa,3614960.0
186,GO,SET - Fixação de Recursos Humanos,351100.0
187,MA,APQ - Auxílio a Pesquisa,3306524.21
188,MA,ARC - Promoção de Eventos Científicos,158000.0
189,MA,AT - Apoio Técnico a Pesquisa,18000.0
190,MA,ATP - Apoio Técnico em Extensão no País ,33850.0
191,MA,DCR - Desenvolvimento Cientifico Regional,368150.0
192,MA,DT - Produtividade Desen. Tec. e Extensão ,34100.0
193,MA,DTI - Desenvolvimento Tecnológico Industrial,180560.0
194,MA,EXP - Extensão no País,83100.0
195,MA,GD - Doutorado,46692.0
196,MA,GM - Mestrado,102000.0
197,MA,IC - Iniciação Científica,1527200.0
198,MA,ICJ - Iniciação Científica Júnior,135800.0
199,MA,IEX - Iniciação ao Extensionismo,3600.0
200,MA,IT - Iniciação Tecnológica,102000.0
201,MA,ITI - Iniciação Tecnológica e Industrial,7200.0
202,MA,PDS - Pós-doutorado Sênior,28800.0
203,MA,PQ - Produtividade em Pesquisa,937700.0
204,MA,SET - Fixação de Recursos Humanos,16000.0
205,MG,ADC - Apoio à Difusão do Conhecimento,30894.0
206,MG,AED - Auxílio a Editoração e Publicação,258350.0
207,MG,APQ - Auxílio a Pesquisa,69295640.07
208,MG,ARC - Promoção de Eventos Científicos,820665.0
209,MG,AT - Apoio Técnico a Pesquisa,306550.0
210,MG,ATP - Apoio Técnico em Extensão no País ,180000.0
211,MG,DT - Produtividade Desen. Tec. e Extensão ,987800.0
212,MG,DTI - Desenvolvimento Tecnológico Industrial,4630120.0
213,MG,EV - Especialista Visitante,125500.0
214,MG,EXP - Extensão no País,792200.0
215,MG,GD - Doutorado,22088044.36
216,MG,GM - Mestrado,7822500.0
217,MG,IC - Iniciação Científica,12057200.0
218,MG,ICJ - Iniciação Científica Júnior,441000.0
219,MG,IEX - Iniciação ao Extensionismo,2520.0
220,MG,IT - Iniciação Tecnológica,1300400.0
221,MG,ITC - Iniciação Tecnológica em TICs,54000.0
222,MG,ITI - Iniciação Tecnológica e Industrial,320893.0
223,MG,PAV - Bolsa Pesquisador-Avaliador,24980.0
224,MG,PCI - Programa de Capacitação Institucional,479960.0
225,MG,PDI - Pos-doutorado Empresarial,94300.0
226,MG,PDJ - Pós-doutorado Júnior,4577900.0
227,MG,PDS - Pós-doutorado Sênior,480000.0
228,MG,PQ - Produtividade em Pesquisa,30493820.0
229,MG,PV - Pesquisador Visitante,15600.0
230,MG,SET - Fixação de Recursos Humanos,1648320.0
231,MG,SWP - Doutorado-Sanduiche no Pais,13950.0
232,MS,AED - Auxílio a Editoração e Publicação,19500.0
233,MS,APQ - Auxílio a Pesquisa,5727393.13
234,MS,ARC - Promoção de Eventos Científicos,120000.0
235,MS,AT - Apoio Técnico a Pesquisa,30750.0
236,MS,ATP - Apoio Técnico em Extensão no País ,18200.0
237,MS,DCR - Desenvolvimento Cientifico Regional,445000.0
238,MS,DT - Produtividade Desen. Tec. e Extensão ,52800.0
239,MS,DTI - Desenvolvimento Tecnológico Industrial,357300.0
240,MS,EV - Especialista Visitante,77500.0
241,MS,EXP - Extensão no País,163740.0
242,MS,GD - Doutorado,599669.08
243,MS,GM - Mestrado,508500.0
244,MS,IC - Iniciação Científica,2343600.0
245,MS,ICJ - Iniciação Científica Júnior,123500.0
246,MS,IEX - Iniciação ao Extensionismo,18360.0
247,MS,IT - Iniciação Tecnológica,178000.0
248,MS,ITI - Iniciação Tecnológica e Industrial,97104.0
249,MS,PDI - Pos-doutorado Empresarial,20500.0
250,MS,PDJ - Pós-doutorado Júnior,166500.0
251,MS,PQ - Produtividade em Pesquisa,1859960.0
252,MS,SET - Fixação de Recursos Humanos,122400.0
253,MT,ADC - Apoio à Difusão do Conhecimento,1449.0
254,MT,AED - Auxílio a Editoração e Publicação,24000.0
255,MT,APQ - Auxílio a Pesquisa,4186787.91
256,MT,ARC - Promoção de Eventos Científicos,26000.0
257,MT,AT - Apoio Técnico a Pesquisa,3900.0
258,MT,ATP - Apoio Técnico em Extensão no País ,42850.0
259,MT,DCR - Desenvolvimento Cientifico Regional,623350.0
260,MT,DT - Produtividade Desen. Tec. e Extensão ,62200.0
261,MT,DTI - Desenvolvimento Tecnológico Industrial,252800.0
262,MT,EV - Especialista Visitante,33500.0
263,MT,EXP - Extensão no País,20900.0
264,MT,GD - Doutorado,511248.0
265,MT,GM - Mestrado,373500.0
266,MT,IC - Iniciação Científica,1822800.0
267,MT,ICJ - Iniciação Científica Júnior,234300.0
268,MT,IT - Iniciação Tecnológica,170400.0
269,MT,ITI - Iniciação Tecnológica e Industrial,26400.0
270,MT,PDJ - Pós-doutorado Júnior,162350.0
271,MT,PQ - Produtividade em Pesquisa,941180.0
272,MT,SET - Fixação de Recursos Humanos,217900.0
273,PA,AED - Auxílio a Editoração e Publicação,20750.0
274,PA,APQ - Auxílio a Pesquisa,7782994.8
275,PA,ARC - Promoção de Eventos Científicos,270665.0
276,PA,AT - Apoio Técnico a Pesquisa,50700.0
277,PA,ATP - Apoio Técnico em Extensão no País ,36050.0
278,PA,BJT - Atração de Jovens Talentos,8200.0
279,PA,DCR - Desenvolvimento Cientifico Regional,50400.0
280,PA,DT - Produtividade Desen. Tec. e Extensão ,232300.0
281,PA,DTI - Desenvolvimento Tecnológico Industrial,354800.0
282,PA,EV - Especialista Visitante,3500.0
283,PA,EXP - Extensão no País,227760.0
284,PA,GD - Doutorado,4012062.0
285,PA,GM - Mestrado,2161500.0
286,PA,IC - Iniciação Científica,3607200.0
287,PA,ICJ - Iniciação Científica Júnior,171700.0
288,PA,IT - Iniciação Tecnológica,155200.0
289,PA,ITC - Iniciação Tecnológica em TICs,8000.0
290,PA,ITI - Iniciação Tecnológica e Industrial,120800.0
291,PA,PCI - Programa de Capacitação Institucional,2177500.0
292,PA,PDI - Pos-doutorado Empresarial,12300.0
293,PA,PDJ - Pós-doutorado Júnior,603350.0
